Year,Make,Model,Kilometres,Body Type, Engine, Transmission, Drivetrain, Exterior Colour, Interior Colour, Passengers, Doors, Fuel Type, City, Highway,Price
2019,Jaguar,F-Pace,36041 km,SUV,4 Cylinder,Automatic,AWD,Fuji White,null,null,4,Gas,10.7L/100km,8.8L/100km,42988
2019,Jaguar,XJ,79789 km,Sedan,3.0L 6cyl,8 Speed Automatic,AWD,Black,Brown,5,4,Gas,14.0L/100km,9.0L/100km,42995
2019,Jaguar,F-Pace,41891 km,SUV,4 Cylinder Engine 2.0L,Automatic,AWD,Black,Black,null,4,Gas,10.7L/100km,8.8L/100km,43590
2015,Jaguar,XF,31523 km,Sedan,V6 Cylinder Engine,8 Speed Automatic,AWD,null,null,5,4,Gas,null,null,26999
2019,Jaguar,E-Pace,63211 km,SUV,4 Cylinder Engine,9 Speed Automatic,AWD,Black,Tan,5,4,Gas,11.2L/100km,8.6L/100km,44888
2019,Jaguar,F-Pace,86800 km,SUV,4 Cylinder Engine,8 Speed Automatic,AWD,White,Red,5,4,Gas,null,null,45777
2019,Jaguar,F-Pace,51303 km,SUV,4 Cylinder,Automatic,AWD,Santorini Black Metallic,null,null,4,Gas,null,null,46800
2019,Jaguar,F-Pace,72150 km,SUV,V6 Cylinder Engine,8 Speed Automatic,AWD,Black,Red,5,4,Gas,13.3L/100km,10.0L/100km,46888
2017,Jaguar,XJ,41000 km,Sedan,3.0L,Automatic,AWD,Ultimate Black Metallic,Black,5,4,Gas,14.0L/100km,9.0L - 9.4L/100km,46888
2019,Jaguar,F-Pace,40000 km,SUV,2.0L,Automatic,AWD,Polaris White,White,5,4,Gas,10.7L/100km,8.8L/100km,49888
2020,Jaguar,F-Pace,48258 km,SUV,4 Cylinder,Automatic,AWD,Narvik Black,Red,null,4,Gas,10.9L/100km,8.7L/100km,54800
2017,Jaguar,F-Type,57600 km,Coupe,V6 Cylinder Engine,8 Speed Automatic,RWD,White,Black,2,2,Gas,12.4L/100km,8.8L/100km,57777
2016,Jaguar,F-Type,50000 km,Convertible,V6 Cylinder Engine,8 Speed Automatic,RWD,Black,Beige,2,2,Gas,12.1L/100km,8.5L/100km,58799
2023,Jaguar,F-Type,6952 km,Coupe,8 Cylinder Engine,Automatic,AWD,Indus Silver Metallic,Black,null,2,Gas,15.2L/100km,9.8L/100km,132888
2019,Jaguar,F-Pace,83972 km,SUV,4 Cylinder Engine,Automatic,AWD,Fuji White,null,5,4,Gas,null,null,58995
2020,Jaguar,F-Type,59293 km,Coupe,6 Cylinder,Automatic,AWD,Fuji White,null,null,2,Gas,13.0L/100km,9.2L/100km,68800
2016,Jaguar,F-Type,20084 km,Convertible,8 Cylinder Engine,8 Speed Automatic,AWD,Dark Grey,Black,2,2,Gas,15.7L/100km,10.4L/100km,78800
2018,Jaguar,F-Type,26100 km,Coupe,6 Cylinder,Automatic,AWD,Santorini Black Metallic,null,null,2,Gas,13.0L/100km,9.2L/100km,79800
2018,Jaguar,F-Type,33600 km,Coupe,8 Cylinder Engine,8 Speed Automatic,AWD,Blue,Black,2,2,Gas,15.6L/100km,10.4L/100km,82777
2015,Jaguar,XF,136000 km,Sedan,null,Automatic,AWD,null,null,null,4 doors,Gasoline,null,null,22500
2016,Jaguar,XF,128000 km,Sedan,3.0L V6 Cylinder Engine,Automatic,AWD,White,Grey,5,4,Gas,11.9L/100km,8.3L/100km,25950
2014,Jaguar,XJ,120700 km,Sedan,V6 Cylinder Engine,Automatic,AWD,Grey,Black,5,4,Gas,null,null,25995
2015,Jaguar,XJ,86821 km,Sedan,3.0L 6cyl,8 Speed Automatic,AWD,Black,Black,5,4,Premium Unleaded,14.6L/100km,9.6L/100km,29099
2022,Jaguar,F-Pace,16838 km,SUV,4 Cylinder Engine,8 Speed Automatic,AWD,Santorini Black Metallic,null,5,4,Gas,10.7L/100km,8.8L/100km,67888
2018,Jaguar,E-Pace,102507 km,SUV,4 Cylinder Engine,9 Speed Automatic,AWD,Fuji White,null,5,4,Gas,11.2L/100km,8.6L/100km,33995
2020,Jaguar,XE,26894 km,Sedan,2.0L 4cyl,8 Speed Automatic,AWD,White,Black,5,4,Gas,9.8L/100km,6.9L/100km,38888
2016,Jaguar,F-Type,61500 km,Convertible,V6 Cylinder Engine,8 Speed Automatic,AWD,White,Red,2,2,Gas,13.0L/100km,9.1L/100km,63777
2017,Jaguar,F-Type,82788 km,Coupe,8 Cylinder Engine,8 Speed Automatic,AWD,Black,Black,2,2,Gas,15.6L/100km,10.4L/100km,68888
2023,Jaguar,F-Pace,90 km,SUV,Straight 6 Cylinder Engine,8 Speed Automatic,AWD,Portofino Blue Metallic,null,5,4,null,null,null,88113
2023,Jaguar,F-Pace,90 km,SUV,Straight 6 Cylinder Engine,8 Speed Automatic,AWD,Santorini Black Metallic,null,5,4,null,null,null,88608
2023,Jaguar,F-Pace,90 km,SUV,Straight 6 Cylinder Engine,8 Speed Automatic,AWD,Firenze Red Metallic,null,5,4,null,null,null,88713
2023,Jaguar,F-Pace,90 km,SUV,Straight 6 Cylinder Engine,8 Speed Automatic,AWD,Santorini Black Metallic,null,5,4,null,null,null,88713
2023,Jaguar,F-Type,90 km,Coupe,8 Cylinder Engine,8 Speed Automatic,RWD,Santorini Black Metallic,null,2,2,Gas,14.1L/100km,9.7L/100km,101586
2019,Jaguar,F-Pace,72645 km,SUV,4 Cylinder Engine 2.0L,Automatic,AWD,White,Red,5,4,Diesel,8.9L/100km,7.2L/100km,43860
2023,Jaguar,F-Type,90 km,Coupe,8 Cylinder Engine,8 Speed Automatic,RWD,Indus Silver Metallic,null,2,2,Gas,14.1L/100km,9.7L/100km,103786
2023,Jaguar,F-Type,90 km,Convertible,8 Cylinder Engine,8 Speed Automatic,RWD,British Racing Green Metallic,null,2,2,Gas,14.1L/100km,9.7L/100km,107991
2023,Jaguar,F-Type,90 km,Coupe,8 Cylinder Engine,8 Speed Automatic,AWD,British Racing Green Metallic,null,2,2,Gas,15.2L/100km,9.8L/100km,114761
2023,Jaguar,F-Type,90 km,Coupe,8 Cylinder Engine,8 Speed Automatic,AWD,Carpathian Grey Metallic,null,2,2,Gas,15.2L/100km,9.8L/100km,119866
