Year,Make,Model,Kilometres,Body Type, Engine, Transmission, Drivetrain, Exterior Colour, Interior Colour, Passengers, Doors, Fuel Type, City, Highway,Price
2021,GMC,Sierra,26777 km,Truck,8 Cylinder Engine,Automatic,4WD,Black,null,5,null,Gas,14.3L - 15.3L/100km,10.7L - 11.0L/100km,61445
2017,GMC,Sierra,154842 km,Crew Cab,Duramax 6.6L V8 Turbodiesel,Automatic,4x4,Onyx Black,Black,5,4,Diesel,null,null,61900
2020,GMC,Sierra,72000 km,Crew Cab,DURAMAX 3.0 TURBO-DIESEL,10 Speed Automatic,4x4,Onyx Black,Black,5,4,Diesel,10.5L/100km,9.1L/100km,61901
2021,GMC,Sierra,44515 km,Truck,Straight 6 Cylinder Engine,Automatic,4x4,Black,Black,null,4,Diesel,10.6L/100km,9.2L/100km,64887
2014,GMC,SIERRA,240519 km,Crew Cab,322HP 6.0L 8 Cylinder Engine,Automatic,4WD,Summit White,null,null,4,Gas,null,null,17600
2021,GMC,Sierra,35134 km,Truck,8 Cylinder Engine,Automatic,4x4,null,null,5,4,Gas,10.6L/100km,9.2L/100km,66995
2022,GMC,Sierra,21577 km,Truck,3.0 L,Automatic,4x4,Quicksilver Metallic,Black,null,4,Diesel,10.5L/100km,9.1L/100km,67999
2021,GMC,Sierra,17995 km,Truck,8 Cylinder Engine,Automatic,4x4,Onyx Black,null,5,4,Gas,10.6L/100km,9.2L/100km,76995
2022,GMC,Sierra,25230 km,Truck,5.3 L,Automatic,4x4,Onyx Black,Black,null,4,Gas,15.7L/100km,11.9L/100km,80999
2022,GMC,Yukon,17823 km,SUV,6.2 L,Automatic,4x4,Onyx Black,Black,null,4,Gas,16.3L/100km,12.7L/100km,102999
2017,GMC,Terrain,130652 km,SUV,2.4L I4,Automatic,FWD,Black,null,null,null,Gas,null,null,15995
2018,GMC,Acadia,78860 km,SUV,3.6,6 Speed Automatic,FWD,Ebony Twilight Metallic,Grey,7,4,Gas,13.0L/100km,9.3L/100km,30888
2017,GMC,Savana,147271 km,Minivan,V-8 cyl,6 Speed Automatic,RWD,Summit White,Dark Grey,null,null,Gas,null,null,33997
2020,GMC,Terrain,31995 km,SUV,4 Cylinder Engine,Automatic,AWD,Gray,Black,5,4,Gas,11.2L/100km,9.0L/100km,34342
2021,GMC,Savana,97935 km,Minivan,V6 Cylinder Engine,null,RWD,Not Specified,null,null,3,Gas,null,null,41995
2018,GMC,Sierra,122000 km,Truck,8 Cylinder Engine,6 Speed Automatic,4x4,Onyx Black,Black,5,4,Gas,null,null,42995
2020,GMC,Sierra,41698 km,Extended Cab,8 Cylinder Engine,null,4x4,Black,null,null,null,Gas,14.3L/100km,10.6L/100km,45900
2022,GMC,Sierra,21586 km,Truck,Straight 6 Cylinder Engine,10 Speed Automatic,4x4,Summit White,Black,5,4,Diesel,10.5L - 11.8L/100km,9.1L - 10.3L/100km,69988
2023,GMC,SIERRA,25 km,Crew Cab,445HP 6.6L 8 Cylinder Engine,Automatic,4WD,Onyx Black,null,5,4,Diesel,null,null,97188
2023,GMC,SIERRA,25 km,Crew Cab,445HP 6.6L 8 Cylinder Engine,Automatic,4WD,Summit White,null,5,4,Diesel,null,null,97188
2023,GMC,SIERRA,25 km,Crew Cab,445HP 6.6L 8 Cylinder Engine,Automatic,4WD,Summit White,null,5,4,Diesel,null,null,97188
2023,GMC,SIERRA,25 km,Crew Cab,445HP 6.6L 8 Cylinder Engine,Automatic,4WD,Onyx Black,null,5,4,Diesel,null,null,97188
2023,GMC,SIERRA,25 km,Crew Cab,445HP 6.6L 8 Cylinder Engine,Automatic,4WD,Summit White,null,5,4,Diesel,null,null,97188
2023,GMC,SIERRA,25 km,Crew Cab,445HP 6.6L 8 Cylinder Engine,Automatic,4WD,Summit White,null,5,4,Diesel,null,null,97188
2016,GMC,Sierra,143150 km,Truck,V8,Automatic,4x4,Burgundy,Black,null,null,Gas,15.0L/100km,10.7L/100km,37500
2023,GMC,SIERRA,35 km,Crew Cab,445HP 6.6L 8 Cylinder Engine,Automatic,4WD,Summit White,null,5,4,Diesel,null,null,97188
2023,GMC,SIERRA,35 km,Crew Cab,445HP 6.6L 8 Cylinder Engine,Automatic,4WD,Onyx Black,null,5,4,Diesel,null,null,97188
2023,GMC,SIERRA,35 km,Crew Cab,445HP 6.6L 8 Cylinder Engine,Automatic,4WD,Onyx Black,null,5,4,Diesel,null,null,97188
2023,GMC,Sierra,35 km,Crew Cab,445HP 6.6L 8 Cylinder Engine,Automatic,4WD,Ebony Twilight Metallic,null,5,4,Diesel,null,null,102918
2023,GMC,Sierra,35 km,Crew Cab,445HP 6.6L 8 Cylinder Engine,Automatic,4WD,Ebony Twilight Metallic,null,5,4,Diesel,null,null,102918
2023,GMC,Sierra,35 km,Crew Cab,445HP 6.6L 8 Cylinder Engine,Automatic,4WD,Ebony Twilight Metallic,null,5,4,Diesel,null,null,102918
2022,GMC,Yukon,7875 km,SUV,6.2,Automatic,4x4,Midnight Blue Metallic,Beige,7,4,Gas,16.3L/100km,12.7L/100km,105888
2010,GMC,Acadia,210008 km,SUV,V6 Cylinder Engine 3.6L,Automatic,FWD,Carbon Black Metallic,null,null,4,Gas,12.7L/100km,8.4L/100km,7888
2019,GMC,Terrain,130065 km,SUV,1.5L 4cyl,9 Speed Automatic,AWD,Ebony Twilight Metallic,Black,null,4,Gas,9.6L/100km,8.3L/100km,22995
2017,GMC,Sierra,169341 km,Truck Double Cab,V-8 cyl,Automatic,4x4,Stone Blue Metallic,Black,5,4,Regular Unleaded,null,null,25395
2023,GMC,Terrain,35 km,SUV,175HP 1.5L 4 Cylinder Engine,Automatic,AWD,Volcanic Red Tintcoat,null,5,4,Gas,9.9L/100km,8.3L/100km,47478
2023,GMC,Acadia,35 km,SUV,228HP 2.0L 4 Cylinder Engine,Automatic,AWD,Ebony Twilight Metallic,null,7,4,Gas,10.8L/100km,8.7L/100km,54943
2023,GMC,Sierra,35 km,Truck,310HP 2.7L 4 Cylinder Engine,Automatic,4WD,Summit White,null,6,4,Gas,13.1L - 15.2L/100km,11.6L - 13.2L/100km,57613
2022,GMC,Sierra,35 km,Crew Cab,310HP 2.7L 4 Cylinder Engine,Automatic,4WD,Onyx Black,null,5,4,Gas,13.9L - 18.1L/100km,12.0L - 14.0L/100km,58378
2023,GMC,Sierra,35 km,Crew Cab,310HP 2.7L 4 Cylinder Engine,Automatic,4WD,Onyx Black,null,5,4,Gas,13.1L - 15.2L/100km,11.6L - 13.2L/100km,60563
2023,GMC,Sierra,35 km,Crew Cab,310HP 2.7L 4 Cylinder Engine,Automatic,4WD,Summit White,null,5,4,Gas,13.1L - 15.2L/100km,11.6L - 13.2L/100km,60563
2023,GMC,Sierra,35 km,Crew Cab,310HP 2.7L 4 Cylinder Engine,Automatic,4WD,Summit White,null,5,4,Gas,13.1L/100km,11.6L/100km,68293
2023,GMC,Sierra,35 km,Crew Cab,310HP 2.7L 4 Cylinder Engine,Automatic,4WD,Onyx Black,null,5,4,Gas,13.1L/100km,11.6L/100km,68548
2023,GMC,Sierra,35 km,Crew Cab,355HP 5.3L 8 Cylinder Engine,Automatic,4WD,Sterling Metallic,null,5,4,Gas,14.8L/100km,11.8L/100km,74678
2019,GMC,Terrain,61409 km,SUV,4 Cylinder Engine,Automatic,AWD,Blue Steel Metallic,null,null,null,Gas,11.2L/100km,9.0L/100km,33450
2023,GMC,Sierra,35 km,Crew Cab,355HP 5.3L 8 Cylinder Engine,Automatic,4WD,Cardinal Red,null,5,4,Gas,14.8L/100km,11.8L/100km,74933
2023,GMC,Sierra,35 km,Crew Cab,355HP 5.3L 8 Cylinder Engine,Automatic,4WD,Volcanic Red Tintcoat,null,5,4,Gas,14.8L/100km,11.8L/100km,75273
2023,GMC,Sierra,35 km,Crew Cab,355HP 5.3L 8 Cylinder Engine,Automatic,4WD,Dynamic Blue Metallic,null,5,4,Gas,14.8L/100km,11.8L/100km,75428
2023,GMC,Sierra,35 km,Crew Cab,355HP 5.3L 8 Cylinder Engine,Automatic,4WD,Titanium Rush Metallic,null,5,4,Gas,14.8L/100km,11.8L/100km,76548
2023,GMC,Sierra,35 km,Crew Cab,355HP 5.3L 8 Cylinder Engine,Automatic,4WD,Sterling Metallic,null,5,4,Gas,14.8L/100km,11.8L/100km,79683
2023,GMC,Sierra,35 km,Crew Cab,445HP 6.6L 8 Cylinder Engine,Automatic,4WD,null,null,5,4,Diesel,null,null,84088
2023,GMC,Sierra,35 km,Crew Cab,445HP 6.6L 8 Cylinder Engine,Automatic,4WD,Onyx Black,null,5,4,Diesel,null,null,100788
2023,GMC,Sierra,35 km,Crew Cab,445HP 6.6L 8 Cylinder Engine,Automatic,4WD,Onyx Black,null,5,4,Diesel,null,null,100788
2023,GMC,Sierra,35 km,Crew Cab,445HP 6.6L 8 Cylinder Engine,Automatic,4WD,Summit White,null,5,4,Diesel,null,null,100788
2020,GMC,Savana,50854 km,Van Regular,8 Cylinder Engine,8 Speed Automatic,RWD,Summit White,Black,2,3,Flexible,null,null,44395
2023,GMC,Sierra,35 km,Crew Cab,445HP 6.6L 8 Cylinder Engine,Automatic,4WD,Onyx Black,null,5,4,Diesel,null,null,100788
2023,GMC,Sierra,35 km,Crew Cab,445HP 6.6L 8 Cylinder Engine,Automatic,4WD,Summit White,null,5,4,Diesel,null,null,100788
2023,GMC,Sierra,35 km,Crew Cab,420HP 6.2L 8 Cylinder Engine,Automatic,4WD,Dynamic Blue Metallic,null,5,4,Gas,16.7L/100km,14.0L/100km,101538
2023,GMC,SIERRA,35 km,Crew Cab,445HP 6.6L 8 Cylinder Engine,Automatic,4WD,Summit White,null,5,4,Diesel,null,null,107808
2023,GMC,SIERRA,35 km,Crew Cab,445HP 6.6L 8 Cylinder Engine,Automatic,4WD,Ebony Twilight Metallic,null,5,4,Diesel,null,null,109248
2023,GMC,Sierra,35 km,Crew Cab,445HP 6.6L 8 Cylinder Engine,Automatic,4WD,Ebony Twilight Metallic,null,5,4,Diesel,null,null,109808
2001,GMC,Sierra,237908 km,Truck Extended Cab,4.8,Automatic,RWD,Red,Charcoal,null,2,Gas,15.3L - 16.8L/100km,10.0L - 10.9L/100km,7980
2014,GMC,Terrain,231458 km,SUV,4 Cylinder Engine 2.4L,Automatic,FWD,Black,null,null,4,Gas,9.2L/100km,6.1L/100km,8995
2017,GMC,Acadia,94551 km,SUV,2.5L DOHC 4-CYLINDER SIDI,Automatic,AWD,TAN.,Black,null,2,Gas,11.0L/100km,9.2L/100km,25498
2018,GMC,SIERRA,100845 km,Truck,6.6L 8cyl,6 Speed Automatic,4x4,Grey,Black,5,4,Diesel,null,null,59995
2023,GMC,Terrain,35 km,SUV,175HP 1.5L 4 Cylinder Engine,Automatic,AWD,Summit White,null,5,4,Gas,9.9L/100km,8.3L/100km,37898
2019,GMC,Sierra,70705 km,Crew Cab,5.3L 8cyl,6 Speed Automatic,4x4,Onyx Black,Black,5,4,Gas,null,null,42999
2023,GMC,Terrain,35 km,SUV,175HP 1.5L 4 Cylinder Engine,Automatic,AWD,Sterling Metallic,null,5,4,Gas,9.9L/100km,8.3L/100km,46883
2023,GMC,Terrain,35 km,SUV,175HP 1.5L 4 Cylinder Engine,Automatic,AWD,Ebony Twilight Metallic,null,5,4,Gas,9.9L/100km,8.3L/100km,47688
