Year,Make,Model,Kilometres,Body Type, Engine, Transmission, Drivetrain, Exterior Colour, Interior Colour, Passengers, Doors, Fuel Type, City, Highway,Price
2021,Acura,TLX,29841 km,Sedan,V6 Cylinder Engine 3.0L,Automatic,AWD,Platinum White Pearl,Red,null,4,Gas,12.3L/100km,9.8L/100km,55995
2020,Acura,RDX,88483 km,SUV,I-4 cyl,10 Speed Automatic,AWD,Modern Steel Metallic,Red,null,null,Gas,11.3L/100km,9.1L/100km,39588
2021,Acura,RDX,44337 km,SUV,4 Cylinder Engine 2.0L,Automatic,AWD,Modern Steel Metallic,Black,null,4,Gas,11.3L/100km,9.1L/100km,44295
2022,Acura,MDX,31000 km,SUV,3.5L,Automatic,AWD,Majestic Black Pearl,Red,7,4,Gas,12.6L/100km,9.4L/100km,60899
2018,Acura,TLX,106548 km,Sedan,2.4L L4 DOHC 16V,Automatic,FWD,Bellanova White Pearl,Red,null,4,Gas,null,null,28998
2022,Acura,TLX,7700 km,Sedan,I-4 cyl,10 Speed Automatic,AWD,Apex Blue Pearl,Black,null,null,Gas,11.3L/100km,8.1L/100km,49988
2019,Acura,MDX,85772 km,SUV,Premium Unleaded V-6 3.5 L/212,Automatic,AWD,Modern Steel Metallic,Black,7,4,Gas,12.2L/100km,9.0L/100km,37995
2021,Acura,RDX,92078 km,SUV,Intercooled Turbo Premium Unleaded I-4 2.0 L/122,Automatic,AWD,Platinum White Pearl,Black,5,4,Gas,11.0L - 11.3L/100km,8.6L - 9.1L/100km,44995
2019,Acura,RDX,110024 km,SUV,Intercooled Turbo Premium Unleaded I-4 2.0 L/122,Automatic,AWD,Modern Steel Metallic,Black,5,4,Gas,11.0L/100km,8.6L/100km,34995
2009,Acura,TSX,123535 km,Sedan,4 Cylinder Engine,6 Speed Manual,FWD,Silver,Black,5,4,Gas,10.5L/100km,7.0L/100km,11500
2015,Acura,TLX,192552 km,Sedan,4 Cylinder Engine,Automatic,FWD,Bellanova White Pearl,Black,5,null,Gas,9.6L/100km,6.6L/100km,14888
