Year,Make,Model,Kilometres,Body Type, Engine, Transmission, Drivetrain, Exterior Colour, Interior Colour, Passengers, Doors, Fuel Type, City, Highway,Price
2018,BMW,2-Series,36500 km,Coupe,4 Cylinder Engine,Automatic,AWD,White,Black,4,2,Gas,9.9L/100km,7.1L/100km,31999
2019,BMW,X3,91300 km,SUV,2.0,Automatic,AWD,Black,Black,5,4,Gas,10.8L/100km,8.0L/100km,32788
2017,BMW,X5,125102 km,SUV,Straight 6 Cylinder,Automatic,AWD,Gray,Brown,7,4,Gas,13.0L/100km,9.8L/100km,32888
2018,BMW,X2,47876 km,SUV,4 Cylinder Engine,8 Speed Automatic,AWD,Jet Black,null,5,4,Gas,11.0L/100km,7.7L/100km,32900
2019,BMW,X1,65601 km,SUV,4 Cylinder Engine,8 Speed Automatic,AWD,Mediterranean Blue Metallic,null,5,4,Gas,10.7L/100km,7.6L/100km,32900
2019,BMW,430i,48900 km,Sedan,4 Cylinder,Automatic,AWD,Alpine White Non-Metallic,Black,5,4,Gas,10.5L/100km,7.4L/100km,33880
2018,BMW,4,76500 km,Sedan,2.0,Automatic,AWD,White,null,5,4,Gas,10.5L/100km,7.4L/100km,33888
2020,BMW,3,49852 km,Sedan,Straight 6 Cylinder Engine,8 Speed Automatic,AWD,Portimao Blue Metallic,null,5,4,Gas,11.4L/100km,8.3L/100km,57981
2019,BMW,4,78205 km,Coupe,2.0,Automatic,AWD,Alpine White Non-Metallic,Red,4,2,Gas,10.5L/100km,7.4L/100km,33888
2018,BMW,4,110000 km,Sedan,3.0,Automatic,AWD,Alpine White,Red,5,4,Gas,11.1L/100km,7.5L/100km,33888
2016,BMW,X5,99388 km,SUV,STRAIGHT 6 CYLINDER ENGINE,8 Speed Automatic,AWD,WHITE,Black,5,4,Gas,13.1L/100km,9.8L/100km,33896
2018,BMW,X3,67929 km,SUV,2.0,Automatic,AWD,Gray,Black,null,4,Gas,10.8L/100km,8.0L/100km,33900
2018,BMW,X2,63067 km,SUV,4 Cylinder Engine,8 Speed Automatic,AWD,Alpine White,null,5,4,Gas,11.0L/100km,7.7L/100km,33980
2018,BMW,4,58000 km,Hatchback,4 Cylinder Engine,8 Speed Automatic,AWD,White,Black,5,4,Gas,10.2L/100km,7.2L/100km,33988
2018,BMW,4,77800 km,Coupe,Straight 6 Cylinder Engine,8 Speed Automatic,AWD,Black,Black,4,2,Gas,11.1L/100km,7.5L/100km,34490
2018,BMW,X2,34693 km,Wagon,4 Cylinder Engine,8 Speed Automatic,AWD,Mediterranean Blue Metallic,null,null,null,Gas,11.0L/100km,7.7L/100km,34500
2018,BMW,4,41087 km,Coupe,2.0,Automatic,AWD,White,Red,5,2,Gas,10.5L/100km,7.4L/100km,34888
2009,BMW,M3,146691 km,Coupe,4.0L 8cyl,6 Speed Manual,RWD,Black,Beige,null,2,Premium Unleaded,15.3L/100km,9.7L/100km,37999
2018,BMW,4,65170 km,Sedan,2.0,Automatic,AWD,Sunset Orange Metallic,Black,5,4,Gas,10.5L/100km,7.4L/100km,34888
2015,BMW,X6,132000 km,SUV,Straight 6 Cylinder Engine,8 Speed Automatic,AWD,null,null,5,4,Gas,13.0L/100km,8.9L/100km,34950
2018,BMW,X2,30089 km,SUV,4 Cylinder Engine,8 Speed Automatic,AWD,Mineral Grey Metallic,null,5,4,Gas,11.0L/100km,7.7L/100km,35510
2019,BMW,4,67300 km,Hatchback,4 Cylinder Engine,8 Speed Automatic,AWD,Alpine White Non-Metallic,Black,5,4,Gas,10.5L/100km,7.4L/100km,35880
2018,BMW,4,96322 km,Sedan,3.0,Automatic,AWD,Blue,Brown,5,4,Gas,11.1L/100km,7.5L/100km,35888
2019,BMW,4,61782 km,Sedan,2.0,Automatic,AWD,Black,Black,5,4,Gas,10.5L/100km,7.4L/100km,35888
2018,BMW,440,81725 km,Hatchback,3.0L 6cyl,8 Speed Automatic,AWD,null,null,5,4,Gas,11.4L/100km,7.8L/100km,35888
2017,BMW,X5,138000 km,SUV,Straight 6 Cylinder Engine,Automatic,AWD,Grey,Black,5,4,Diesel,10.0L/100km,7.6L/100km,35895
2018,BMW,X4,74797 km,SUV,4 Cylinder Engine,8 Speed Automatic,AWD,Silver,Brown,5,4,Gas,11.8L/100km,8.6L/100km,35898
2015,BMW,M4,65917 km,Coupe,Straight 6 Cylinder Engine,Automatic,RWD,Black Sapphire Metallic,Black,4,2,Gas,null,null,57995
2019,BMW,3,64866 km,Sedan,4 Cylinder Engine,Automatic,AWD,White,Black,null,4,Gas,null,null,35980
2018,BMW,4,50677 km,Hatchback,4 Cylinder Engine,8 Speed Automatic,AWD,Alpine White,null,5,4,Gas,10.2L/100km,7.2L/100km,35980
2018,BMW,X5,108432 km,SUV,Straight 6 Cylinder Engine,8 Speed Automatic,AWD,White,Black,5,4,Gas,13.0L/100km,9.8L/100km,35995
2017,BMW,X5,113500 km,SUV,2.0,Automatic,AWD,Imperial Blue Metallic,Beige,null,4,Electric,10.2L/100km,9.5L/100km,35998
2018,BMW,X5,123094 km,SUV,300HP 3.0L Straight 6 Cylinder Engine,Automatic,AWD,Black,null,null,4,Gas,13.0L/100km,9.8L/100km,36590
2019,BMW,4,75394 km,Hatchback,4 Cylinder Engine,8 Speed Automatic,AWD,Mineral Grey Metallic,null,5,4,Gas,10.2L/100km,7.2L/100km,36885
2017,BMW,X5,73000 km,SUV,Straight 6 Cylinder Engine,Automatic,AWD,Imperial Blue Metallic,Beige,5,4,Gas,13.0L/100km,9.8L/100km,36888
2018,BMW,4,62592 km,Hatchback,Straight 6 Cylinder Engine,8 Speed Automatic,AWD,Mineral Grey Metallic,Black,5,4,Gas,11.4L/100km,7.8L/100km,36888
2018,BMW,2-Series,69300 km,Convertible,4 Cylinder Engine,Automatic,AWD,Black Sapphire Metallic,White,4,2,Gas,10.5L/100km,7.4L/100km,36999
2018,BMW,4,50473 km,Convertible,Straight 6 Cylinder Engine,8 Speed Automatic,AWD,Melbourne Red Metallic,Black,4,2,Gas,11.9L/100km,8.1L/100km,44999
2016,BMW,428i,77000 km,Convertible,4 Cylinder Engine,8 Speed Automatic,AWD,Alpine White,Black,null,null,Gas,11.2L/100km,7.1L/100km,37253
2019,BMW,4,52633 km,Hatchback,4 Cylinder Engine,8 Speed Automatic,AWD,Glacier Silver Metallic,Black,5,4,Gas,10.5L/100km,7.4L/100km,37500
2019,BMW,4,39950 km,Hatchback,4 Cylinder Engine,8 Speed Automatic,AWD,Mineral Grey Metallic,Red,5,4,Gas,10.2L/100km,7.2L/100km,37885
2016,BMW,X5,99500 km,SUV,4.4,8 Speed Automatic,AWD,Black,Brown,7,4,Gas,15.7L/100km,11.4L/100km,37950
2020,BMW,330I,79614 km,Sedan,2.0L 4cyl,8 Speed Automatic,AWD,Black,Black,null,2,Premium Unleaded,9.5L/100km,6.9L/100km,37990
