Year,Make,Model,Kilometres,Body Type, Engine, Transmission, Drivetrain, Exterior Colour, Interior Colour, Passengers, Doors, Fuel Type, City, Highway,Price
2019,Jeep,Cherokee,124357 km,SUV,V-6 cyl,Automatic,4x4,Diamond Black Crystal Pearl,Black,null,null,Regular Unleaded,12.9L/100km,9.9L/100km,26899
2019,Jeep,Cherokee,64882 km,SUV,V6 Cylinder Engine,Automatic,4x4,Bright White,null,null,4,Gas,12.8L/100km,9.0L/100km,26989
2018,Jeep,Compass,66875 km,SUV,2.4L 4cyl,9 Speed Automatic,4x4,Grey,Black,5,4,Gas,10.8L/100km,7.8L/100km,27099
2019,Jeep,Cherokee,41137 km,SUV,I-4 cyl,9 Speed Automatic,FWD,Billet Metallic,Dark Grey,null,null,Gas,10.8L/100km,7.6L/100km,27677
2017,Jeep,Grand,134000 km,SUV,6 Cylinder Engine,Automatic,4x4,Dark Grey,Black,5,4,Gas,null,null,27777
2019,Jeep,Cherokee,131325 km,SUV,3.2L 6cyl,9 Speed Automatic,4x4,Diamond Black Crystal Pearl,Black,null,2,Gas,12.9L/100km,9.9L/100km,27900
2019,Jeep,Cherokee,111698 km,SUV,Regular Unleaded V-6 3.2 L/198,Automatic,4x4,Granite Crystal Metallic,Black,null,4,Gas,12.9L/100km,9.9L/100km,28870
2021,Jeep,Grand,41300 km,SUV,3.6L V6,Automatic,4x4,Slate Blue Pearl,null,null,null,Gas,12.7L/100km,9.6L/100km,48495
2017,Jeep,Grand,160591 km,SUV,V6 Cylinder Engine,Automatic,4x4,Diamond Black Crystal Pearl,null,5,4,Gas,null,null,29395
2019,Jeep,Cherokee,90017 km,SUV,V6 Cylinder Engine,Automatic,4x4,Diamond Black Crystal Pearl,Black,null,4,Gas,12.9L/100km,9.9L/100km,29761
2018,Jeep,Cherokee,36628 km,SUV,4 Cylinder Engine,9 Speed Automatic,4x4,Dark Blue,Black,5,4,Gas,12.9L/100km,9.9L/100km,30471
2020,Jeep,Cherokee,15715 km,SUV,V6 Cylinder Engine,9 Speed Automatic,FWD,null,null,5,4,Gas,11.9L/100km,8.2L/100km,30995
2018,Jeep,Wrangler,60512 km,SUV,3.6L 6cyl,5 Speed Automatic,4x4,Grey,Black,null,2,Gas,14.1L - 14.2L/100km,11.0L - 11.1L/100km,30995
2019,Jeep,Compass,58339 km,SUV,2.4L 4cyl,9 Speed Automatic,4x4,White,Black,5,4,Gas,10.8L/100km,7.8L/100km,31000
2018,Jeep,Wrangler,50273 km,SUV,3.6L V6 24V VVT,null,4WD,Black,Black,null,null,Gas,12.8L - 13.7L/100km,9.6L - 10.4L/100km,32788
2019,Jeep,Wrangler,58105 km,SUV,4 Cylinder Engine,Automatic,4x4,Hellayella,Black,4,2,Gas,12.8L - 13.7L/100km,9.6L - 10.4L/100km,33890
2016,Jeep,Grand,83217 km,SUV,Regular Unleaded V-6 3.6 L/220,Automatic,4x4,Brilliant Black Crystal Pearl,Black,null,4,Gas,12.8L/100km,9.5L/100km,33990
2016,Jeep,Cherokee,64419 km,SUV,Regular Unleaded V-6 3.2 L/198,Automatic,4x4,Brilliant Black Crystal Pearl,Black,5,4,Gas,12.5L/100km,8.9L/100km,26342
2021,Jeep,Compass,46943 km,SUV,4 Cylinder Engine 2.4L,Automatic,4x4,White,Black,null,4,Gas,10.8L/100km,7.8L/100km,34590
2019,Jeep,Wrangler,69500 km,SUV,3.6,Automatic,AWD,Blue,Black,null,2,Gas,12.8L - 13.7L/100km,9.6L - 10.4L/100km,34888
2020,Jeep,Cherokee,52797 km,SUV,Regular Unleaded V-6 3.2 L/198,Automatic,4x4,Diamond Black Crystal Pearl,Black,5,4,Gas,12.9L/100km,9.9L/100km,34989
2022,Jeep,Compass,41787 km,SUV,4 Cylinder Engine,Automatic,4WD,Billet Silver Metallic,null,null,null,Gas,10.8L/100km,7.8L/100km,35995
2021,Jeep,Compass,25060 km,SUV,I-4 cyl,9 Speed Automatic,4WD,Red,White,null,null,Gas,10.8L/100km,7.8L/100km,35999
2020,Jeep,Grand,69944 km,SUV,6cyl,8 Speed Automatic,4x4,Billet Silver Metallic,Dark Grey,null,null,Gas,12.7L/100km,9.6L/100km,36777
2018,Jeep,Grand,22873 km,SUV,V6 Cylinder Engine,8 Speed Automatic,4x4,Grey,null,5,4,Gas,12.7L/100km,9.6L/100km,36888
2020,Jeep,Wrangler,12700 km,SUV,2.0,Automatic,FWD,Black,Black,null,2,Gas,10.7L/100km,9.6L - 10.4L/100km,37000
2021,Jeep,Cherokee,48802 km,SUV,3.2L V6,9 Speed Automatic,AWD,Bright White,Black,null,null,Gas,12.9L/100km,9.7L/100km,37827
2021,Jeep,WRANGLER,72342 km,SUV,2.0L 4cyl,8 Speed Automatic,4x4,Bright White,Black,5,4,Premium Unleaded,11.5L/100km,9.9L - 10.1L/100km,44900
2018,Jeep,Grand,55869 km,SUV,V6 Cylinder Engine,Automatic,4x4,True Blue Pearl,null,null,4,Gas,12.7L/100km,9.6L/100km,37995
2019,Jeep,Grand,96130 km,SUV,V6 Cylinder Engine,Automatic,4x4,Diamond Black Crystal Pearl,null,null,4,Gas,12.7L/100km,9.6L/100km,37995
2022,Jeep,Compass,5305 km,SUV,Regular Unleaded I-4 2.4 L/144,Automatic,4x4,Laser Blue Pearl,Black,5,4,Gas,10.8L/100km,7.8L/100km,37998
2020,Jeep,Grand,41070 km,SUV,3.6L 6cyl,8 Speed Automatic,4x4,Billet Silver Metallic,Black,5,4,Gas,12.7L/100km,9.6L/100km,37999
2019,Jeep,Grand,41382 km,SUV,V6 Cylinder Engine,Automatic,4x4,Granite Crystal Metallic,Black,5,4,Gas,12.7L/100km,9.6L/100km,38995
2020,Jeep,Wrangler,34116 km,SUV,Regular Unleaded V-6 3.6 L/220,Manual,4x4,Billet Silver Metallic,Black,null,2,Gas,12.8L - 13.7L/100km,9.6L - 10.4L/100km,39348
2019,Jeep,Grand,96157 km,SUV,6cyl,8 Speed Automatic,4x4,Billet Metallic,Brown,null,null,Gas,12.7L - 16.7L/100km,9.6L - 10.9L/100km,39577
2018,Jeep,Grand,65265 km,SUV,6cyl,8 Speed Automatic,4x4,Granite Crystal Metallic,Dark Grey,null,null,Diesel,13.1L/100km,9.4L/100km,39877
