Year,Make,Model,Kilometres,Body Type, Engine, Transmission, Drivetrain, Exterior Colour, Interior Colour, Passengers, Doors, Fuel Type, City, Highway,Price
2013,Lotus,Evora,8089 km,Coupe,6 Cylinder,Automatic,RWD,Ardent Red,Black,null,2,Gas,null,null,149800
2011,Lotus,Evora,16636 km,Coupe,V6 Cylinder Engine,Manual,RWD,Orange,Black,4,2,Gas,13.1L/100km,8.7L/100km,76910
2013,Lotus,Evora,8089 km,Coupe,6 Cylinder,Automatic,RWD,Ardent Red,Black,null,2,Gas,null,null,149800
1992,Lotus,Elan,38624 km,Convertible,4 cylinder engine,5 Speed Manual,FWD,Red,Black,2,2,Gas,null,null,25000
1967,Lotus,Seven,50000 km,Convertible,null,Manual,RWD,Not Specified,null,null,Other/Don’t Know,Gasoline,null,null,47250
2011,Lotus,Evora,110900 km,Coupe,V6,6 Speed Manual,RWD,White,Black,2,2,Gas,null,null,62900
2011,Lotus,Evora,30000 km,Coupe,null,Manual,RWD,White,null,null,2 doors,Gasoline,null,null,74900
