Year,Make,Model,Kilometres,Body Type, Engine, Transmission, Drivetrain, Exterior Colour, Interior Colour, Passengers, Doors, Fuel Type, City, Highway,Price
2022,Bentley,Bentayga,500 km,SUV,12 Cylinder Engine,8 Speed Automatic,AWD,Glacier White,null,4,4,Gas,19.6L/100km,13.1L/100km,399998
2013,Bentley,Continental,73000 km,Convertible,8 Cylinder Engine,8 Speed Automatic,AWD,Black,Brown,4,2,Gas,16.8L/100km,9.8L/100km,115988
2015,Bentley,Flying,82500 km,Sedan,12 Cylinder Engine,8 Speed Automatic,AWD,2T2T - Onyx,null,4,4,Flexible,19.6L/100km,11.8L/100km,144998
2013,Bentley,Continental,35000 km,Convertible,12 Cylinder Engine,6 Speed Automatic,AWD,Black,Black,4,2,Flexible,null,null,145988
2015,Bentley,Continental,63897 km,Convertible,8 Cylinder Engine,8 Speed Automatic,AWD,Thunder Metallic,null,4,2,Gas,16.8L/100km,9.8L/100km,169998
2016,Bentley,Flying,38236 km,Sedan,12 Cylinder Engine,8 Speed Automatic,AWD,White,null,4,4,Flexible,19.6L/100km,11.8L/100km,179998
2018,Bentley,Bentayga,43650 km,SUV,12 Cylinder Engine,Automatic,AWD,Dark Blue,Cream,5,null,Gas,19.6L/100km,12.4L/100km,187000
2019,Bentley,Bentayga,54326 km,SUV,8 Cylinder Engine,8 Speed Automatic,AWD,Titan Grey,null,4,4,Gas,16.8L/100km,10.2L/100km,219998
2018,Bentley,Continental,14964 km,Sedan,N/A,8 Speed Automatic,AWD,Blue,Grey,4,2,Gas,null,null,224800
2018,Bentley,Bentayga,27287 km,SUV,12 Cylinder Engine,8 Speed Automatic,AWD,Black,Black,null,null,Gas,19.6L/100km,12.4L/100km,239998
2015,Bentley,Flying,82500 km,Sedan,12 Cylinder Engine,8 Speed Automatic,AWD,2T2T - Onyx,null,4,4,Flexible,19.6L/100km,11.8L/100km,144998
2020,Bentley,Bentayga,40686 km,SUV,8 Cylinder Engine,8 Speed Automatic,AWD,Dark Sapphire,null,7,4,Gas,16.8L/100km,10.2L/100km,259998
2020,Bentley,Continental,17505 km,Coupe,8 Cylinder Engine,8 Speed Automatic,AWD,Glacier White,Black,null,null,Gas,14.7L/100km,9.0L/100km,299900
2020,Bentley,Continental,7950 km,Coupe,null,Automatic,AWD,null,null,4,2,Gas,null,null,315000
2020,Bentley,Continental,14365 km,Coupe,12 Cylinder Engine,8 Speed Automatic,AWD,Black Crystal,null,null,null,Gas,19.6L/100km,11.8L/100km,349998
2022,Bentley,Bentayga,500 km,SUV,12 Cylinder Engine,8 Speed Automatic,AWD,Glacier White,null,4,4,Gas,19.6L/100km,13.1L/100km,399998
2022,Bentley,Continental,12199 km,Coupe,12 Cylinder Engine,8 Speed Automatic,AWD,Hallmark,null,null,null,Gas,19.6L/100km,11.8L/100km,419998
1997,Bentley,Brooklands,85579 km,Sedan,8 Cylinder Engine,Automatic,RWD,Blue,Brown,null,4,Gas,null,null,24995
2005,Bentley,Arnage,114000 km,Sedan,null,Automatic,RWD,Silver,null,null,4 doors,Gasoline,null,null,49500
2007,Bentley,Continental,61589 km,Coupe,null,Automatic,AWD,null,null,4,2,Gas,null,null,54888
2006,Bentley,Arnage,29475 km,Sedan,8 Cylinder Engine,Automatic,RWD,Sapphire Black,Beige,null,4,Gas,23.5L/100km,16.8L/100km,62900
2007,Bentley,Continental,125614 km,Convertible,12 Cylinder Engine,Automatic,AWD,null,null,null,null,Gas,21.4L/100km,13.1L/100km,72000
2010,Bentley,Continental,90000 km,null,null,null,null,null,null,null,null,null,null,null,75000
2013,Bentley,Continental,103150 km,Coupe,4.0,Automatic,AWD,White,Red,null,null,Gas,null,null,99898
2008,Bentley,Azure,27635 km,Convertible,6.8L,6 Speed Automatic,RWD,Dark Blue,Cream,4,2,Gas,null,null,139900
2011,Bentley,Continental,94179 km,Sedan,12 Cylinder Engine,6 Speed Automatic,AWD,Grey,Black,4,4,Flexible,null,null,63898
