Year,Make,Model,Kilometres,Body Type, Engine, Transmission, Drivetrain, Exterior Colour, Interior Colour, Passengers, Doors, Fuel Type, City, Highway,Price
2023,Hyundai,Elantra,600 km,Sedan,2.0,Automatic,FWD,Charcoal,Black,5,4,Gas,7.1L - 7.6L/100km,5.5L - 5.7L/100km,32888
2020,Hyundai,Ioniq,46771 km,Hatchback,164HP 1.6L 4 Cylinder Engine,Automatic,FWD,Phantom Black,null,null,4,Gasoline Hybrid,4.4L/100km,4.6L/100km,35490
2019,Hyundai,Santa,62991 km,SUV,4 Cylinder Engine,8 Speed Automatic,AWD,Machine Gray,Black,5,4,Gas,12.3L/100km,9.8L/100km,35910
2019,Hyundai,Santa,36386 km,SUV,2.0L 4cyl,8 Speed Automatic,AWD,Machine Gray,Black,5,5,Gas,12.3L/100km,9.8L/100km,35999
2019,Hyundai,Ioniq,40242 km,Sedan,Electric Motor,Automatic,FWD,Intense Blue Pearl,Grey,5,null,Electric,null,null,38000
2023,Hyundai,Elantra,100 km,Sedan,4 Cylinder Engine,Automatic,FWD,Space Black,Black,5,4,Gas,8.4L/100km,6.6L/100km,39880
2023,Hyundai,Sonata,500 km,Sedan,1.6,Automatic,FWD,Abyss Black,Black,5,4,Gas,9.0L/100km,6.5L/100km,39990
2021,Hyundai,Kona,21656 km,SUV,I4,7 Speed Automatic with auto-shift,AWD,Grey,Black,null,null,Gas,9.0L/100km,8.0L/100km,35890
2022,Hyundai,Ioniq,6000 km,Sedan,1.6,Automatic,FWD,Phantom Black,Black,5,4,Gasoline Hybrid,4.5L/100km,4.6L/100km,44995
2023,Hyundai,Tucson,91 km,SUV,226HP 1.6L 4 Cylinder Engine,Automatic,AWD,Ash Black,Black,5,4,Gasoline Hybrid,6.3L/100km,6.6L/100km,52888
2023,Hyundai,IONIQ,99 km,null,Electric Motor,Automatic,AWD,Atlas White,null,null,null,Electric,null,null,72909
2012,Hyundai,Elantra,175756 km,Sedan,1.8L I4 148HP 131FT. LBS.,Automatic,FWD,Desert Bronze Metallic,Grey,null,4,Gas,7.2L/100km,5.2L/100km,7990
2015,Hyundai,Tucson,171000 km,SUV,4 Cylinder Engine,Automatic,AWD,Winter White,Black,5,4,Gas,11.4L/100km,9.3L/100km,14900
2019,Hyundai,Sonata,107641 km,Sedan,4 Cylinder Engine,6 Speed Automatic,FWD,Platinum Silver,Light Grey,5,4,Gas,9.3L/100km,7.1L/100km,28999
2022,Hyundai,Santa,241 km,Truck,4 Cylinder Engine,8 Speed Automatic,AWD,Blue Stone,Black,null,4,Gas,12.1L/100km,8.6L/100km,44753
2008,Hyundai,Tiburon,220000 km,Coupe,null,Automatic,FWD,Blue,null,null,2 doors,Gasoline,null,null,3500
2009,Hyundai,Elantra,240000 km,Sedan,null,Automatic,FWD,Blue,null,null,4 doors,Gasoline,null,null,3500
2022,Hyundai,Palisade,20543 km,SUV,V6 Cylinder Engine,8 Speed Automatic,AWD,Steel Graphite,Black,7,4,Gas,12.3L/100km,9.6L/100km,59999
2008,Hyundai,Santa,230000 km,SUV,3.3,Automatic,AWD,Grey,Black,null,5,Gas,null,null,3695
2006,Hyundai,Elantra,185300 km,null,null,null,null,null,null,null,null,null,null,null,3900
2010,Hyundai,Santa,275000 km,null,null,Automatic,AWD,Grey,null,null,4 doors,Gasoline,null,null,4000
2007,Hyundai,Veracruz,191000 km,null,null,Automatic,AWD,Silver,null,null,4 doors,Gasoline,null,null,4200
2008,Hyundai,Sonata,246000 km,Sedan,null,Automatic,FWD,Grey,null,null,4 doors,Gasoline,null,null,4400
2012,Hyundai,Accent,199115 km,Hatchback,null,Automatic,FWD,Grey,null,null,5 doors,Gasoline,null,null,4500
2010,Hyundai,Genesis,315000 km,null,null,null,null,null,null,null,null,null,null,null,4500
2009,Hyundai,Accent,193000 km,Sedan,null,Automatic,FWD,Beige,null,null,4 doors,Gasoline,null,null,4900
2007,Hyundai,Sonata,190000 km,Sedan,2.4,Automatic,FWD,Burgundy,Grey,5,4,Gas,9.6L - 9.9L/100km,6.3L - 6.5L/100km,4990
2021,Hyundai,Elantra,29800 km,Sedan,4 Cylinder Engine,CVT,FWD,Intense Blue,Black,null,null,Gas,7.5L/100km,5.7L/100km,26998
2014,Hyundai,Elantra,220390 km,Sedan,null,Automatic,FWD,White,null,null,4 doors,Gasoline,null,null,5000
2009,Hyundai,Sonata,237814 km,Sedan,null,Automatic,FWD,Blue,null,null,4 doors,Gasoline,null,null,5000
2011,Hyundai,Elantra,221500 km,Sedan,null,Automatic,FWD,Black,null,null,4 doors,Gasoline,null,null,5199
2012,Hyundai,Veloster,241000 km,Hatchback,null,Automatic,FWD,Blue,null,null,3 doors,Other/Don’t Know,null,null,5500
