Year,Make,Model,Kilometres,Body Type, Engine, Transmission, Drivetrain, Exterior Colour, Interior Colour, Passengers, Doors, Fuel Type, City, Highway,Price
2019,Acura,MDX,53052 km,SUV,V6 Cylinder Engine,9 Speed Automatic,AWD,Majestic Black Pearl,Red,null,null,Gas,12.2L/100km,9.0L - 9.5L/100km,43880
2018,Acura,MDX,77127 km,SUV,V6 Cylinder Engine,9 Speed Automatic,AWD,Modern Steel Metallic,Black,null,null,Gas,12.6L/100km,9.0L/100km,36486
2019,Acura,RDX,33032 km,SUV,2.0L 4cyl,10 Speed Automatic,AWD,White Diamond Pearl,Black,5,4,Premium Unleaded,11.0L/100km,8.6L/100km,40888
2020,Acura,RDX,50702 km,SUV,4 Cylinder Engine,null,AWD,Platinum White Pearl,Black,null,null,Gas,11.0L/100km,8.6L/100km,44599
2021,Acura,RDX,67950 km,SUV,4 Cylinder Engine,null,AWD,Apex Blue Pearl,Red,null,null,Gas,11.3L/100km,9.1L/100km,46989
2022,Acura,MDX,31000 km,SUV,3.5L,Automatic,AWD,Majestic Black Pearl,Red,7,4,Gas,12.6L/100km,9.4L/100km,60899
2020,Acura,RDX,27800 km,SUV,2.0L 4cyl,10 Speed Automatic,AWD,Majestic Black Pearl,Black,5,4,Premium Unleaded,11.3L/100km,9.1L/100km,49099
2019,Acura,TLX,34396 km,Sedan,3.5L 6cyl,9 Speed Automatic,AWD,Crystal Black Pearl,Tan,5,4,Premium Unleaded,11.4L/100km,7.7L/100km,36499
2020,Acura,RDX,60892 km,SUV,Intercooled Turbo Premium Unleaded I-4 2.0 L/122,Automatic,AWD,Majestic Black Pearl,Black,5,4,Gas,11.0L/100km,8.6L/100km,38495
2009,Acura,TSX,123535 km,Sedan,4 Cylinder Engine,6 Speed Manual,FWD,Silver,Black,5,4,Gas,10.5L/100km,7.0L/100km,11500
2015,Acura,TLX,192552 km,Sedan,4 Cylinder Engine,Automatic,FWD,Bellanova White Pearl,Black,5,null,Gas,9.6L/100km,6.6L/100km,14888
2015,Acura,TLX,163537 km,Sedan,V6 Cylinder Engine,9 Speed Automatic,AWD,Dark Blue,Black,5,4,Gas,11.2L/100km,7.5L/100km,14971
2016,Acura,RDX,179301 km,SUV,V6 Cylinder Engine 3.5L,Automatic,AWD,Crystal Black Pearl,Black,null,4,Gas,12.4L/100km,8.6L/100km,16399
2020,Acura,MDX,65684 km,SUV,V6 Cylinder Engine 3.5L,Automatic,AWD,Modern Steel Metallic,Black,null,4,Gas,12.3L/100km,9.2L/100km,40995
2017,Acura,RDX,211000 km,SUV,6 Cylinder,Automatic,AWD,Lunar Silver Metallic,Black,5,4,Gas,12.4L/100km,8.7L/100km,18999
2016,Acura,ILX,104368 km,Sedan,2.4L 4 Cylinder Engine,Automatic,FWD,Black,Black,5,4,Gas,9.3L/100km,6.6L/100km,20295
2015,Acura,MDX,205000 km,SUV,6 Cylinder,Automatic,AWD,Alabaster Silver Metallic,Black,7,4,Gas,null,null,20885
2017,Acura,RDX,166813 km,SUV,V6 Cylinder Engine,Automatic,AWD,Crystal Black Pearl,Black,5,null,Gas,12.4L/100km,8.7L/100km,20950
2016,Acura,MDX,207000 km,SUV,6 Cylinder,Automatic,AWD,Lunar Silver Metallic,Black,7,4,Gas,12.7L/100km,9.1L/100km,20995
