Year,Make,Model,Kilometres,Body Type, Engine, Transmission, Drivetrain, Exterior Colour, Interior Colour, Passengers, Doors, Fuel Type, City, Highway,Price
2022,Ram,1500,1177 km,Truck,6.2L 8 Cylinder Engine,Automatic,4x4,Diamond Black Crystal Pearlcoat,Black,5,4,Gas,22.4L/100km,16.5L/100km,124995
2022,Ram,1500,24590 km,Crew Cab,Intercooled Supercharger Premium Unleaded V-8 6.2,Automatic,4x4,Diamond Black Crystal Pearlcoat,Black,null,4,Gas,22.4L/100km,16.5L/100km,127800
2012,Ram,1500,162515 km,Truck,8 Cylinder Engine,Automatic,4x4,Silver,Grey,6,4,Flexible,15.3L/100km,10.5L/100km,15588
2014,Ram,1500,197321 km,Truck,V6 Cylinder Engine,Automatic,4x4,Red,null,null,4,Diesel,10.6L - 13.0L/100km,7.4L - 8.5L/100km,19995
2014,Ram,1500,160578 km,Truck Quad Cab,6cyl,6 Speed Automatic,4x4,Black,Dark Grey,null,null,Flexible,13.0L - 15.8L/100km,8.5L - 10.8L/100km,20677
2014,Ram,1500,208113 km,Truck,V6 Cylinder Engine,8 Speed Automatic,4x4,Maroon,Grey,5,4,Diesel,10.6L - 14.6L/100km,7.4L - 9.8L/100km,22000
2022,Ram,1500,22530 km,Truck Crew Cab,V-6 cyl,8 Speed Automatic,4x4,Diamond Black Crystal Pearlcoat,Black,null,null,Diesel,11.1L/100km,8.0L/100km,75999
2019,Ram,1500,99417 km,Truck,8 Cylinder Engine 5.7L,Automatic,4x4,White,null,null,4,Gas,16.1L - 18.7L/100km,11.5L - 13.3L/100km,38995
2019,Ram,1500,41432 km,Regular Cab,8 Cylinder Engine,Automatic,4WD,Grey,Black,null,null,Gas,12.2L - 16.1L/100km,9.7L - 11.0L/100km,39900
2022,Ram,1500,5 km,Truck,3.6L Pentastar VVT V6,8 Speed Automatic,4WD,Bright White,null,null,null,Regular Unleaded,14.5L/100km,10.2L/100km,44818
2022,Ram,1500,5 km,Truck,3.6L Pentastar VVT V6,8 Speed Automatic,4WD,Bright White,null,null,null,Regular Unleaded,14.5L/100km,10.2L/100km,44818
