Year,Make,Model,Kilometres,Body Type, Engine, Transmission, Drivetrain, Exterior Colour, Interior Colour, Passengers, Doors, Fuel Type, City, Highway,Price
2021,Kia,Forte,27968 km,Sedan,4 Cylinder Engine,CVT,FWD,Aurora Black,Black,null,null,Gas,7.8L/100km,5.9L/100km,24995
2022,Kia,Soul,19938 km,Hatchback,4 Cylinder Engine,CVT,FWD,Inferno Red,Dark Grey,5,4,Gas,8.5L/100km,7.0L/100km,24999
2021,Kia,Forte5,58462 km,Hatchback,4 Cylinder Engine 1.6L,Automatic,FWD,Orange Delight,Black,null,5,Gas,8.9L - 9.9L/100km,6.9L - 7.6L/100km,25295
2019,Kia,Sorento,109000 km,SUV,4 Cylinder Engine,Automatic,AWD,Dragon Brown Metallic,Black,5,4,Gas,11.2L/100km,9.0L/100km,25450
2018,Kia,Sportage,52935 km,SUV,4 Cylinder Engine,6 Speed Automatic,AWD,Scarlet Red,null,null,null,Gas,11.3L/100km,9.5L/100km,25888
2021,Kia,Sportage,26654 km,SUV,4 Cylinder Engine,6 Speed Automatic,AWD,Black Cherry,Black,5,4,Gas,12.1L/100km,9.6L/100km,38950
2020,Kia,Sportage,43974 km,SUV,4 Cylinder Engine,Automatic,AWD,Black Cherry,null,5,null,Gas,10.8L/100km,9.1L/100km,25995
2022,Kia,Forte5,7946 km,Hatchback,4 Cylinder Engine,Automatic,FWD,Runway Red,Black,5,4,Gas,8.0L/100km,6.0L/100km,26590
2020,Kia,Sportage,50242 km,SUV,4 Cylinder Engine,Automatic,AWD,Snow White Pearl,Black,5,4,Gas,10.8L/100km,9.1L/100km,26590
2021,Kia,Seltos,68825 km,SUV,2.0L MPI I4 -inc: idle stop and go,Automatic,AWD,Silver,Black,null,4,Gas,8.8L/100km,7.6L/100km,27499
2021,Kia,Seltos,75243 km,SUV,2.0L MPI I4 -inc: idle stop and go,CVT,AWD,Grey,Black,null,4,Gas,8.8L/100km,7.6L/100km,27500
2020,Kia,Sportage,68673 km,SUV,4 Cylinder Engine 2.4L,Automatic,AWD,Snow White Pearl,Black,null,4,Gas,10.8L/100km,9.1L/100km,27989
2019,Kia,Sorento,49680 km,SUV,4 Cylinder Engine,Automatic,AWD,Ebony Black,Black,null,null,Gas,11.2L/100km,9.0L/100km,27995
2018,Kia,Stinger,184631 km,Sedan,V6 Cylinder Engine,Automatic,null,Grey,Black,5,null,Gas,12.7L/100km,9.6L/100km,27998
2019,Kia,Sorento,34818 km,SUV,4 Cylinder Engine,Automatic,AWD,Snow White Pearl,Black,null,null,Gas,11.2L/100km,9.0L/100km,28995
2019,Kia,Stinger,50923 km,Sedan,4 Cylinder Engine,8 Speed Automatic,AWD,Grey,Black,5,4,Gas,11.1L/100km,8.1L/100km,35997
2021,Kia,Forte,16300 km,Sedan,4 Cylinder Engine,Automatic,FWD,Aurora Black,null,5,4,Gas,8.7L/100km,6.6L/100km,28995
2023,Kia,Seltos,16098 km,SUV,2.0L MPI I4 -inc: idle stop and go,Automatic,FWD,Blue,Black,null,4,Gas,8.2L/100km,7.1L/100km,28999
2021,Kia,Seltos,30728 km,SUV,4 Cylinder Engine,Automatic,AWD,Snow White Pearl,null,null,null,Gas,8.8L/100km,7.6L/100km,29995
2021,Kia,Seltos,5837 km,SUV,4 Cylinder Engine,CVT,AWD,Red,null,5,4,Gas,8.8L/100km,7.6L/100km,29995
2022,Kia,Sportage,20363 km,SUV,Regular Unleaded I-4 2.4 L/144,Automatic,AWD,Black Cherry,Black,5,4,Gas,10.8L/100km,9.1L/100km,30998
2020,Kia,Sedona,40500 km,Minivan,V6 Cylinder Engine,8 Speed Automatic,FWD,Snow White Pearl,Dark Grey,8,4,Gas,12.7L/100km,10.0L/100km,31999
2020,Kia,Sorento,89000 km,SUV,V6 Cylinder Engine,Automatic,AWD,Gray,Black,5,4,Gas,12.3L/100km,9.5L/100km,32950
2020,Kia,Sportage,60309 km,SUV,SP757L,Automatic,AWD,Steel Grey,null,null,null,Gas,12.1L/100km,9.6L/100km,32990
2022,Kia,Seltos,6672 km,SUV,4 Cylinder Engine,CVT,AWD,Blue,null,5,null,Gas,8.8L/100km,7.6L/100km,33195
2011,Kia,Soul,117389 km,Hatchback,Gas I4 2.0L/121,Manual,FWD,Gray,Grey,5,4,Gas,8.5L - 8.6L/100km,6.5L - 6.6L/100km,6988
2020,Kia,Soul,83507 km,Hatchback,100kW Perm Magnet AC Synchronous Motor,Automatic,FWD,Onyx,Black,null,4,Electric,null,null,33999
2021,Kia,Seltos,28829 km,SUV,1.6L 4cyl,7 Speed Automatic with auto-shift,AWD,null,null,null,2,Gas,9.4L/100km,7.9L/100km,34399
2020,Kia,Sportage,33335 km,SUV,Intercooled Turbo Regular Unleaded I-4 2.0 L/122,Automatic,AWD,Black Cherry,null,null,4,Gas,12.1L/100km,9.6L/100km,34537
2022,Kia,Sorento,46131 km,SUV,4 Cylinder Engine,8 Speed Automatic,AWD,Ebony Black,Black,5,4,Gas,10.1L/100km,9.2L/100km,34995
2020,Kia,Sorento,39352 km,SUV,3.3L 6cyl,8 Speed Automatic,AWD,Imperial Blue,Black,null,2,Gas,12.3L/100km,9.5L/100km,35999
2018,Kia,Stinger,66228 km,Hatchback,3.3L 6cyl,8 Speed Automatic,AWD,null,null,null,2,Premium Unleaded,12.7L/100km,9.6L/100km,36990
2021,Kia,Sorento,42246 km,SUV,4 Cylinder Engine,Automatic,AWD,Ebony Black,Black,6,4,Gas,11.1L/100km,8.4L/100km,37990
2020,Kia,Telluride,85612 km,SUV,Regular Unleaded V-6 3.8 L/231,Automatic,AWD,Snow White Pearl,Black,8,4,Gas,12.5L/100km,9.6L/100km,39500
2019,Kia,Stinger,49901 km,Hatchback,V6 Cylinder Engine,Automatic,null,Aurora Black,null,null,null,Gas,13.6L/100km,9.6L/100km,39895
2019,Kia,Sorento,93764 km,SUV,4 Cylinder Engine,6 Speed Automatic,AWD,Gray,Black,null,4,Gas,11.2L/100km,9.0L/100km,25884
2019,Kia,Stinger,50570 km,Hatchback,V6 Cylinder Engine,Automatic,null,Snow White Pearl,null,5,null,Gas,12.7L/100km,9.6L/100km,39995
2022,Kia,K5,20069 km,Sedan,4 Cylinder Engine,Automatic,FWD,Ebony Black,null,5,4,Gas,9.9L/100km,7.3L/100km,40885
2020,Kia,Telluride,40650 km,SUV,V6 Cylinder Engine 3.8L,Automatic,AWD,Ebony Black,Black,null,4,Gas,12.5L/100km,9.6L/100km,41504
2021,Kia,Stinger,47121 km,Hatchback,V6 Cylinder Engine,Automatic,null,Ghost Grey,null,null,null,Gas,13.6L/100km,9.6L/100km,42634
2020,Kia,Stinger,58151 km,Sedan,3.3L Twin-Turbo GDI V6,Automatic,AWD,Grey,Black,null,4,Gas,13.6L/100km,9.6L/100km,42644
2022,Kia,Sorento,8981 km,SUV,2.5L Turbo GDI 4-Cylinder DOHC D-CVVT -inc: Igniti,Automatic,AWD,Ebony Black,Black,null,4,Gas,10.9L/100km,8.7L/100km,44999
2021,Kia,Sorento,32510 km,SUV,2.5,Automatic,AWD,Glacial White Pearl,Burgundy,6,4,Gas,11.1L/100km,8.4L/100km,46888
2020,Kia,Telluride,78081 km,SUV,3.8L 6cyl,8 Speed Automatic,AWD,Ebony Black,Black,null,2,Gas,12.5L/100km,9.6L/100km,47888
2020,Kia,Telluride,83535 km,SUV,3.8L 6cyl,8 Speed Automatic,AWD,Ebony Black,Black,7,4,Gas,12.5L/100km,9.6L/100km,48500
2021,Kia,Seltos,81048 km,SUV,4 Cylinder Engine 2.0L,CVT,FWD,Snow White Pearl,Black,null,4,Gas,8.2L/100km,7.1L/100km,22690
2022,Kia,Sorento,17301 km,SUV,2.5L Turbo GDI 4-Cylinder DOHC D-CVVT -inc: Igniti,Automatic,AWD,Glacial White Pearl,Black,null,4,Gas,10.9L/100km,8.7L/100km,49963
2022,Kia,Stinger,32110 km,Hatchback,3.3L 6cyl,8 Speed Automatic,AWD,Snow White Pearl,Black,5,4,Premium Unleaded,13.7L/100km,9.6L/100km,50888
2021,Kia,Telluride,46742 km,SUV,V6 Cylinder Engine,8 Speed Automatic,AWD,White,Black,8,4,Gas,12.6L/100km,9.7L/100km,50999
2022,Kia,Sorento,20195 km,SUV,4 Cylinder Engine,8 Speed Automatic,AWD,Glacial White Pearl,null,null,null,Gas,10.9L/100km,8.7L/100km,51999
2021,Kia,Telluride,49851 km,SUV,V6,Automatic,AWD,Gravity Grey,Black,7,5,Gas,12.6L/100km,9.7L/100km,53500
2021,Kia,Telluride,15862 km,SUV,V6 Cylinder Engine,Automatic,AWD,Black,null,null,null,Gas,12.6L/100km,9.7L/100km,54595
2022,Kia,Telluride,14350 km,SUV,V6 Cylinder Engine,Automatic,AWD,Gravity Grey,null,null,null,Gas,12.7L/100km,9.7L/100km,54900
2022,Kia,Telluride,23450 km,SUV,V6 Cylinder Engine,Automatic,AWD,Gravity Grey,null,null,null,Gas,12.7L/100km,9.7L/100km,55788
2023,Kia,Stinger,2700 km,Sedan,V6 Cylinder Engine,8 Speed Automatic,null,null,null,null,null,Gas,13.7L/100km,9.6L/100km,57693
2017,Kia,Sorento,117290 km,SUV,4 Cylinder Engine 2.0L,Automatic,AWD,Snow White Pearl,Black,null,4,Gas,12.3L/100km,9.4L/100km,17500
2022,Kia,Telluride,13205 km,SUV,3.8L 6cyl,8 Speed Automatic,AWD,Black,Black,null,2,Gas,12.7L/100km,9.7L/100km,60888
2022,Kia,Telluride,7470 km,SUV,V6 Cylinder Engine,Automatic,AWD,Gray,null,8,null,Gas,12.7L/100km,9.7L/100km,60995
2013,Kia,Optima,96000 km,Sedan,2.4L 4cyl,6 Speed Manual,FWD,Silver,Black,null,2,Gas,8.6L - 8.7L/100km,5.6L - 5.7L/100km,9999
2017,Kia,Rio,135490 km,Sedan,1.6,Automatic,FWD,Graphite Pearl,Black,null,4,Gas,8.8L/100km,6.5L - 6.6L/100km,11980
2015,Kia,Sorento,157241 km,SUV,V6 Cylinder Engine,Automatic,AWD,Titanium Silver Metallic,Black,5,null,Regular Unleaded,11.9L/100km,8.4L/100km,13950
2015,Kia,Soul,103346 km,Hatchback,2.0L 4 Cylinder Engine,Automatic,FWD,Polar,Black,5,4,Gas,10.1L/100km,7.7L/100km,15695
2017,Kia,Soul,70367 km,Hatchback,4 Cylinder Engine,6 Speed Automatic,FWD,Titanium,Black,5,4,Gas,9.4L - 9.7L/100km,7.8L/100km,15971
2018,Kia,Rio5,49159 km,Hatchback,1.6L 4cyl,6 Speed Automatic,FWD,Blue,null,null,2,Gas,8.8L/100km,6.5L - 6.6L/100km,17888
2016,Kia,Soul,103885 km,Sedan,1,1 Speed Automatic,FWD,Onyx/Inferno Red Two-Tone,Grey,5,4,Electric,null,null,17888
2021,Kia,Soul,16650 km,Hatchback,2.0L MPI 4-Cylinder,Automatic,FWD,Gravity Grey,Black,null,4,Gas,8.5L/100km,7.0L/100km,23977
2018,Kia,Forte,94133 km,Sedan,2.0L L4 DOHC 16V,Automatic,FWD,Ultra Silver Metallic,Black,null,4,Gas,8.0L - 9.4L/100km,6.1L - 6.8L/100km,17985
2019,Kia,Sorento,173000 km,SUV,4 Cylinder Engine,Automatic,AWD,Dark Grey,Grey,null,4,Gas,11.2L/100km,9.0L/100km,18999
2017,Kia,Sportage,117000 km,SUV,2.4L 4-Cyl Engine,Automatic,AWD,Storm Blue,Black,5,4,Gas,11.3L/100km,9.5L/100km,19450
2017,Kia,Sportage,119594 km,SUV,2.4L 4cyl,6 Speed Automatic,AWD,Grey,Grey,5,4,Gas,11.3L/100km,9.5L/100km,20399
2017,Kia,Sportage,129000 km,SUV,4 Cylinder Engine,Automatic,AWD,Gray,Black,5,4,Gas,11.3L/100km,9.5L/100km,20450
2017,Kia,Sorento,74010 km,SUV,2.4L 4cyl,6 Speed Automatic,FWD,Snow White Pearl,Black,null,2,Gas,11.2L/100km,8.3L/100km,20888
2019,Kia,Forte,27736 km,Sedan,4 Cylinder Engine,Automatic,FWD,Grey,Black,5,4,Gas,7.7L - 8.6L/100km,5.9L - 6.4L/100km,20890
2017,Kia,Sportage,97000 km,SUV,4 Cylinder Engine,6 Speed Automatic,AWD,Black Cherry,Black,5,4,Gas,11.3L/100km,9.5L/100km,21450
2020,Kia,Forte,62151 km,Sedan,4 Cylinder Engine,CVT,null,Radiant Red,null,null,null,Gas,7.9L/100km,5.9L/100km,21999
2022,Kia,Sorento,2692 km,SUV,2.5L 4cyl,Automatic,AWD,Glacial White Pearl,Black,null,2,Gas,10.1L/100km,9.2L/100km,42589
2021,Kia,Forte,43932 km,Sedan,4 Cylinder Engine,Automatic,null,Aurora Black,Black,null,2,Gas,7.8L - 8.6L/100km,5.9L - 6.4L/100km,22599
2018,Kia,Sportage,83000 km,SUV,4 Cylinder Engine,Automatic,AWD,Snow White Pearl,Black,5,4,Gas,11.3L/100km,9.5L/100km,22850
2017,Kia,Sorento,110920 km,SUV,4 Cylinder Engine 2.0L,Automatic,AWD,Grey,Black,null,4,Gas,12.3L/100km,9.4L/100km,22995
2019,Kia,Soul,8004 km,Wagon,4 Cylinder Engine,Automatic,FWD,Inferno Red,null,5,null,Gas,9.5L/100km,7.8L/100km,23595
2018,Kia,Sportage,112000 km,SUV,2.4,Automatic,AWD,Storm Blue,Black,null,4,Gas,11.3L/100km,9.5L/100km,23999
2020,Kia,Soul,71598 km,Wagon,4 Cylinder Engine,CVT,FWD,Gray,null,5,null,Gas,8.6L/100km,7.1L/100km,24475
2022,Kia,Sorento,17301 km,SUV,2.5L Turbo GDI 4-Cylinder DOHC D-CVVT -inc: Igniti,Automatic,AWD,Glacial White Pearl,Black,null,4,Gas,10.9L/100km,8.7L/100km,49963
2014,Kia,Rondo,150790 km,Wagon,4 Cylinder Engine,Automatic,FWD,Fathom Blue Pearl,null,null,4,Gas,9.2L/100km,6.3L/100km,9000
2019,Kia,Stinger,50570 km,Hatchback,V6 Cylinder Engine,Automatic,null,Snow White Pearl,null,5,null,Gas,12.7L/100km,9.6L/100km,39995
2022,Kia,Carnival,27920 km,Minivan,V6 Cylinder Engine,Automatic,FWD,Gray,null,7,null,Gas,12.0L/100km,8.9L/100km,56995
2023,Kia,Forte,26 km,Sedan,2.0L MPI 4 CYL DOHC 16V D-CVVT,Automatic,null,Hyper Blue,Black,5,4,Gas,8.2L/100km,6.0L/100km,25332
2020,Kia,Sportage,65678 km,SUV,4 Cylinder Engine,6 Speed Automatic,AWD,Snow White Pearl,Black,5,4,Gas,10.8L/100km,9.1L/100km,29995
